"","Player","Position","MIN","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","GameId"
"1631","K. Davis","F",24,3,7,0,0,3,4,0,2,2,1,0,2,0,2,9,407
"2401","C. Kaufusi","C",16,1,2,0,0,0,0,2,5,7,0,0,0,2,4,2,407
"3401","N. Emery","G",36,3,11,0,3,6,8,0,3,3,2,3,0,2,3,12,407
"4401","C. Fischer","G",34,5,13,2,6,2,2,0,2,2,1,0,0,1,1,14,407
"5401","K. Collinsworth","G",39,7,20,1,2,10,14,6,6,12,6,2,1,3,1,25,407
"7397","B. Shaw","F",1,0,0,0,0,1,2,1,0,1,0,0,0,0,1,1,407
"8397","J. Hartsock","F",1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,407
"9397","J. Aytes","F",2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,407
"10376","N. Austin","F",11,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,407
"11330","Z. Seljaas","G",24,1,2,1,2,0,0,0,2,2,1,0,0,0,3,3,407
"12251","J. Chatman","G",12,1,3,1,2,0,1,0,0,0,0,0,0,0,3,3,407
"1632","K. Davis","F",15,4,5,0,0,0,1,0,2,2,0,1,1,1,3,8,408
"2402","C. Kaufusi","C",13,1,1,0,0,1,2,1,4,5,2,1,3,0,4,3,408
"3402","N. Emery","G",28,7,12,3,6,0,0,2,7,9,5,0,0,4,0,17,408
"4402","C. Fischer","G",29,3,11,1,8,1,1,0,3,3,3,2,0,0,1,8,408
"5402","K. Collinsworth","G",22,5,11,0,0,2,2,1,6,7,3,1,0,1,2,12,408
"7398","B. Shaw","F",8,0,0,0,0,0,1,0,3,3,1,2,1,1,2,0,408
"8398","J. Hartsock","F",12,2,3,2,3,0,0,0,3,3,2,1,2,0,0,6,408
"9398","J. Aytes","F",7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,408
"10377","D. Guinn","F",8,3,3,1,1,2,4,1,0,1,0,0,0,0,0,9,408
"11331","N. Austin","F",12,1,2,0,0,1,2,1,3,4,1,0,0,0,2,3,408
"12252","Z. Seljaas","G",24,5,7,3,4,0,0,1,1,2,4,0,0,0,0,13,408
"13161","J. Chatman","G",22,3,6,2,5,0,0,1,4,5,4,0,0,2,1,8,408
"1633","K. Davis","F",23,4,6,0,0,3,4,1,3,4,2,0,2,2,2,11,409
"2403","C. Kaufusi","C",12,2,2,0,0,2,4,3,3,6,0,0,1,2,2,6,409
"3403","N. Emery","G",33,7,17,3,10,1,2,1,3,4,4,3,0,1,2,18,409
"4403","C. Fischer","G",33,8,15,3,7,2,2,0,4,4,2,3,0,2,0,21,409
"5403","K. Collinsworth","G",34,5,8,0,0,4,5,4,6,10,16,2,0,3,2,14,409
"7399","B. Shaw","F",2,0,0,0,0,0,1,2,1,3,0,0,0,1,1,0,409
"8399","J. Hartsock","F",3,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,409
"9399","J. Aytes","F",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,409
"10378","D. Guinn","F",2,0,2,0,1,2,2,1,2,3,0,0,0,0,0,2,409
"11332","N. Austin","F",5,1,1,0,0,0,0,0,1,1,0,1,0,0,0,2,409
"12253","Z. Seljaas","G",25,4,8,2,6,0,0,1,2,3,5,1,0,0,3,10,409
"13162","J. Chatman","G",26,4,7,3,5,2,2,0,1,1,1,0,0,1,1,13,409
"1634","K. Davis","F",15,2,4,0,1,0,1,1,1,2,0,0,2,1,4,4,410
"2404","C. Kaufusi","C",17,1,3,0,0,3,4,2,3,5,0,0,0,2,2,5,410
"3404","N. Emery","G",33,4,16,3,10,0,0,1,5,6,2,0,0,1,5,11,410
"4404","C. Fischer","G",39,6,14,3,8,3,3,0,2,2,2,2,0,1,1,18,410
"5404","K. Collinsworth","G",34,4,14,2,3,5,8,3,12,15,8,2,1,2,2,15,410
"7400","J. Hartsock","F",5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,410
"8400","N. Austin","F",16,3,3,0,0,0,0,3,1,4,0,1,1,0,2,6,410
"9400","Z. Seljaas","G",33,2,8,2,6,3,4,2,2,4,5,2,1,2,4,9,410
"10379","J. Chatman","G",8,0,3,0,2,0,0,0,0,0,0,1,0,0,1,0,410
"1635","K. Davis","F",28,5,9,0,0,1,4,2,5,7,0,1,1,3,3,11,411
"2405","C. Kaufusi","C",12,2,2,0,0,2,4,1,1,2,0,1,0,1,3,6,411
"3405","N. Emery","G",30,4,11,3,7,4,5,1,2,3,0,2,0,2,5,15,411
"4405","C. Fischer","G",37,4,10,2,6,4,4,1,2,3,1,0,1,0,1,14,411
"5405","K. Collinsworth","G",38,4,8,0,1,5,7,1,8,9,6,0,0,6,1,13,411
"7401","N. Austin","F",15,0,0,0,0,1,3,1,3,4,0,0,0,1,4,1,411
"8401","Z. Seljaas","G",28,3,7,3,6,3,4,0,4,4,1,0,1,0,2,12,411
"9401","J. Chatman","G",12,0,3,0,1,0,0,0,2,2,3,1,0,0,3,0,411
"1636","K. Davis","F",13,2,3,0,0,3,4,4,0,4,1,0,0,1,4,7,412
"2406","C. Kaufusi","C",23,3,4,0,0,0,0,2,4,6,0,2,1,0,4,6,412
"3406","N. Emery","G",40,10,19,5,11,2,3,1,4,5,4,3,0,2,3,27,412
"4406","C. Fischer","G",32,4,16,3,11,4,5,0,1,1,2,0,0,1,2,15,412
"5406","K. Collinsworth","G",40,7,17,0,1,2,2,4,7,11,6,1,0,5,2,16,412
"7402","N. Austin","F",12,2,3,0,0,0,0,1,3,4,0,2,1,1,4,4,412
"8402","Z. Seljaas","G",32,3,7,2,3,1,1,0,0,0,0,1,0,0,3,9,412
"9402","J. Chatman","G",8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,412
"1637","Y. Childs","F",31,2,6,0,0,2,2,3,5,8,2,0,0,3,0,6,413
"2407","E. Mika","F",34,8,13,0,0,13,16,4,3,7,2,1,1,1,3,29,413
"3407","D. Guinn","F",24,1,6,0,3,0,0,0,4,4,1,1,0,2,2,2,413
"4407","T. Haws","G",24,3,7,3,5,2,4,0,2,2,3,0,0,4,2,11,413
"5407","N. Emery","G",31,8,15,4,9,4,5,0,7,7,5,0,0,4,4,24,413
"7403","P. Dastrup","F",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
"8403","B. Shaw","F",4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,413
"9403","J. Aytes","F",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,413
"10380","C. Kaufusi","C",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,413
"11333","S. Beo","G",23,2,5,0,2,0,0,4,2,6,4,0,0,5,2,4,413
"12254","C. Leifson","G",5,3,8,3,8,1,2,0,1,1,0,0,0,0,0,10,413
"13163","Z. Frampton","G",17,1,5,1,5,0,0,1,3,4,1,1,0,0,2,3,413
"1638","E. Mika","F",34,7,14,0,0,12,13,9,9,18,3,1,2,2,2,26,414
"2408","K. Davis","F",23,2,4,0,0,3,6,1,4,5,0,0,2,3,4,7,414
"3408","T. Haws","G",35,5,11,3,6,7,8,1,1,2,1,3,0,1,4,20,414
"4408","N. Emery","G",37,6,14,1,7,2,2,1,7,8,4,3,0,3,2,15,414
"5408","L.J. Rose","G",31,1,6,0,1,2,4,0,3,3,3,0,0,2,2,4,414
"7404","Y. Childs","F",23,2,5,0,0,1,4,0,6,6,0,0,1,1,2,5,414
"8404","J. Aytes","F",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,414
"9404","S. Beo","G",2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,414
"10381","Z. Frampton","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414
"11334","E. Bryant","G",15,1,6,0,2,3,4,2,4,6,1,1,0,1,2,5,414
"1639","E. Mika","F",15,6,8,0,0,6,7,2,3,5,1,0,3,2,1,18,415
"2409","K. Davis","F",15,2,6,0,0,0,0,1,5,6,1,1,0,2,2,4,415
"3409","T. Haws","G",22,4,8,3,7,0,0,0,5,5,1,1,0,2,2,11,415
"4409","N. Emery","G",22,4,8,2,6,3,3,0,2,2,3,1,0,3,0,13,415
"5409","L.J. Rose","G",22,1,2,1,2,2,2,1,2,3,5,1,0,1,0,5,415
"7405","Y. Childs","F",20,4,5,0,0,0,1,3,12,15,3,1,1,5,2,8,415
"8405","P. Dastrup","F",7,4,6,1,1,0,0,0,2,2,0,0,0,1,3,9,415
"9405","B. Shaw","F",8,1,1,0,0,0,0,1,1,2,0,0,0,1,2,2,415
"10382","J. Aytes","F",11,3,3,0,0,1,2,2,0,2,0,0,1,1,4,7,415
"11335","D. Guinn","F",10,1,4,1,2,2,2,0,0,0,1,1,0,1,1,5,415
"12255","S. Beo","G",10,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,415
"13164","C. Leifson","G",9,1,5,1,5,0,0,1,2,3,1,0,0,0,2,3,415
"14123","Z. Frampton","G",8,0,1,0,0,0,0,0,4,4,0,0,0,0,2,0,415
"15101","E. Bryant","G",21,3,7,0,3,5,5,0,7,7,3,2,0,3,1,11,415
"1640","E. Mika","F",25,8,12,0,0,3,6,2,9,11,1,0,3,2,1,19,416
"2410","K. Davis","F",21,4,5,0,0,0,1,1,5,6,2,1,1,1,4,8,416
"3410","T. Haws","G",29,3,12,1,3,1,2,0,4,4,5,0,0,2,1,8,416
"4410","N. Emery","G",23,6,12,2,6,0,0,0,2,2,3,1,0,0,0,14,416
"5410","L.J. Rose","G",32,3,6,1,3,2,2,0,6,6,9,1,1,3,1,9,416
"7406","Y. Childs","F",19,2,2,0,0,0,0,0,3,3,1,0,1,2,0,4,416
"8406","P. Dastrup","F",2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,416
"9406","B. Shaw","F",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,416
"10383","J. Aytes","F",11,2,3,0,0,0,0,1,2,3,0,0,0,0,1,4,416
"11336","D. Guinn","F",7,2,4,2,3,0,0,0,0,0,0,0,0,1,0,6,416
"12256","C. Leifson","G",6,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,416
"13165","Z. Frampton","G",3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,416
"14124","E. Bryant","G",20,3,9,1,6,2,2,0,5,5,3,0,1,1,2,9,416
"1641","E. Mika","F",19,7,10,0,0,6,7,1,9,10,1,1,3,2,4,20,417
"2411","K. Davis","F",26,10,13,0,0,2,3,1,2,3,2,2,1,0,3,22,417
"3411","T. Haws","G",34,3,9,2,5,1,2,1,2,3,3,2,0,5,1,9,417
"4411","N. Emery","G",24,3,9,1,3,2,2,0,2,2,3,0,0,3,5,9,417
"5411","L.J. Rose","G",33,1,5,0,1,3,4,2,10,12,8,0,0,0,1,5,417
"7407","Y. Childs","F",17,2,3,0,0,2,2,0,4,4,2,0,2,2,0,6,417
"8407","P. Dastrup","F",2,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,417
"9407","B. Shaw","F",2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,417
"10384","J. Aytes","F",13,4,4,0,0,4,4,1,4,5,1,0,0,1,2,12,417
"11337","D. Guinn","F",15,2,5,0,1,3,3,2,3,5,0,1,0,1,2,7,417
"12257","C. Leifson","G",6,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,417
"13166","Z. Frampton","G",3,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,417
"14125","E. Bryant","G",6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,417
"1642","E. Mika","F",19,3,7,0,1,7,8,1,2,3,1,0,1,2,4,13,418
"2412","K. Davis","F",28,3,5,0,0,3,3,0,3,3,2,0,1,4,3,9,418
"3412","T. Haws","G",26,6,10,3,5,0,0,0,2,2,0,0,0,1,3,15,418
"4412","N. Emery","G",33,5,16,4,8,4,5,1,3,4,3,3,1,2,4,18,418
"5412","L.J. Rose","G",33,0,6,0,2,2,2,0,7,7,6,0,0,1,3,2,418
"7408","Y. Childs","F",11,1,2,0,0,1,2,0,2,2,1,0,2,0,3,3,418
"8408","P. Dastrup","F",8,2,4,0,0,0,0,2,1,3,0,0,0,0,1,4,418
"9408","B. Shaw","F",4,0,0,0,0,2,2,1,1,2,0,1,0,0,0,2,418
"10385","J. Aytes","F",10,1,2,0,0,3,4,1,0,1,0,0,0,0,0,5,418
"11338","D. Guinn","F",13,4,4,3,3,0,0,1,1,2,1,0,0,0,1,11,418
"12258","E. Bryant","G",15,1,4,0,3,5,6,0,1,1,1,1,0,3,3,7,418
"1643","E. Mika","F",26,8,8,0,0,6,9,3,2,5,2,1,0,3,5,22,419
"2413","K. Davis","F",24,4,9,0,0,3,4,2,4,6,1,0,1,4,4,11,419
"3413","T. Haws","G",29,1,10,0,4,4,5,0,2,2,7,1,0,0,3,6,419
"4413","N. Emery","G",39,15,28,5,12,2,2,0,3,3,4,2,0,7,3,37,419
"5413","L.J. Rose","G",31,1,6,0,2,5,6,0,7,7,6,2,0,0,5,7,419
"7409","Y. Childs","F",19,4,7,0,0,0,2,1,5,6,0,0,1,0,2,8,419
"8409","P. Dastrup","F",2,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,419
"9409","B. Shaw","F",3,2,2,0,0,0,0,1,0,1,0,1,0,0,0,4,419
"10386","J. Aytes","F",5,0,2,0,0,0,0,0,1,1,1,0,0,0,2,0,419
"11339","D. Guinn","F",20,1,5,0,2,1,2,1,1,2,0,1,0,0,1,3,419
"12259","S. Beo","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419
"13167","C. Leifson","G",1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3,419
"1644","Y. Childs","F",26,4,7,0,0,1,2,4,8,12,1,1,0,1,3,9,420
"2414","E. Mika","F",29,7,17,0,0,6,8,2,5,7,1,3,4,3,3,20,420
"3414","T. Haws","G",30,2,8,0,4,2,2,2,2,4,1,1,0,0,0,6,420
"4414","N. Emery","G",37,3,15,2,6,2,2,0,6,6,3,1,0,3,1,10,420
"5414","L.J. Rose","G",27,3,6,2,4,10,11,3,6,9,6,1,0,1,0,18,420
"7410","B. Shaw","F",14,4,4,0,0,2,2,4,1,5,1,0,0,1,1,10,420
"8410","J. Aytes","F",10,1,3,0,0,0,0,2,1,3,1,0,0,0,2,2,420
"9410","D. Guinn","F",22,1,10,0,5,0,0,3,3,6,0,2,0,1,2,2,420
"10387","S. Beo","G",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,420
"11340","C. Leifson","G",4,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,420
"12260","Z. Frampton","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420
"1645","Y. Childs","F",17,2,4,0,0,1,2,3,4,7,0,1,2,1,3,5,421
"2415","E. Mika","F",28,10,16,0,0,9,11,4,5,9,0,0,0,3,3,29,421
"3415","T. Haws","G",26,6,14,1,4,3,4,0,0,0,1,4,0,4,3,16,421
"4415","N. Emery","G",34,5,17,3,11,2,2,0,5,5,2,2,0,1,3,15,421
"5415","L.J. Rose","G",26,2,5,1,3,0,0,1,2,3,3,1,0,5,2,5,421
"7411","P. Dastrup","F",2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,421
"8411","B. Shaw","F",9,0,0,0,0,0,2,0,2,2,0,0,0,0,2,0,421
"9411","J. Aytes","F",7,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,421
"10388","D. Guinn","F",18,0,3,0,1,2,2,4,1,5,0,0,0,0,3,2,421
"11341","K. Davis","F",18,4,5,0,0,2,3,1,4,5,1,0,2,2,1,10,421
"12261","S. Beo","G",5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,421
"13168","C. Leifson","G",4,0,3,0,3,0,0,1,0,1,1,0,0,0,2,0,421
"14126","Z. Frampton","G",6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,421
"1646","Y. Childs","F",27,5,8,0,0,0,0,0,8,8,0,1,1,2,4,10,422
"2416","E. Mika","F",29,8,16,0,0,10,15,5,5,10,4,0,1,3,3,26,422
"3416","T. Haws","G",37,5,10,2,5,3,3,1,1,2,5,0,0,3,3,15,422
"4416","N. Emery","G",35,2,9,1,4,2,2,0,2,2,6,2,0,1,3,7,422
"5416","L.J. Rose","G",27,2,6,0,2,0,0,2,6,8,2,1,0,1,2,4,422
"7412","P. Dastrup","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,422
"8412","J. Aytes","F",6,1,2,0,0,0,0,1,0,1,2,0,0,1,0,2,422
"9412","D. Guinn","F",16,0,0,0,0,0,2,0,4,4,0,1,0,0,1,0,422
"10389","K. Davis","F",16,5,8,0,0,3,3,0,3,3,0,1,1,1,2,13,422
"11342","S. Beo","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422
"12262","C. Leifson","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422
"13169","Z. Frampton","G",4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,422
"1647","Y. Childs","F",34,5,7,0,0,1,5,2,10,12,0,0,1,1,3,11,423
"2417","E. Mika","F",30,3,11,0,0,11,13,3,4,7,6,0,3,5,3,17,423
"3417","T. Haws","G",36,5,9,4,5,2,3,0,5,5,4,2,0,4,3,16,423
"4417","N. Emery","G",32,8,15,3,8,3,4,0,4,4,2,3,0,2,3,22,423
"5417","L.J. Rose","G",24,2,8,1,4,0,0,1,0,1,3,1,0,1,3,5,423
"7413","B. Shaw","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,423
"8413","J. Aytes","F",3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,423
"9413","D. Guinn","F",5,0,1,0,1,1,2,1,0,1,0,0,0,0,0,1,423
"10390","K. Davis","F",11,2,4,0,0,0,0,1,2,3,0,0,0,1,2,4,423
"11343","S. Beo","G",21,1,3,1,1,0,2,1,3,4,2,2,0,0,2,3,423
"12263","C. Leifson","G",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,423
"13170","Z. Frampton","G",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423
"1648","Y. Childs","F",31,3,5,0,0,2,2,3,6,9,1,2,3,1,4,8,424
"2418","E. Mika","F",31,9,12,0,0,7,8,3,5,8,1,0,0,3,4,25,424
"3418","T. Haws","G",33,4,12,1,7,1,1,0,6,6,5,3,0,3,1,10,424
"4418","N. Emery","G",36,5,15,3,8,3,5,0,4,4,4,4,1,2,2,16,424
"5418","L.J. Rose","G",27,3,7,1,4,0,0,0,1,1,9,1,0,1,1,7,424
"7414","B. Shaw","F",8,0,1,0,0,0,0,1,1,2,0,1,0,0,2,0,424
"8414","J. Aytes","F",7,0,1,0,0,1,2,0,0,0,0,0,0,1,1,1,424
"9414","D. Guinn","F",5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,424
"10391","K. Davis","F",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,424
"11344","S. Beo","G",8,0,3,0,1,0,0,1,1,2,1,0,0,0,0,0,424
"12264","C. Leifson","G",11,2,2,2,2,0,0,1,1,2,1,0,0,1,0,6,424
"1649","Y. Childs","F",26,4,6,0,0,5,6,2,12,14,3,1,3,3,3,13,425
"2419","E. Mika","F",26,8,13,0,0,3,5,5,7,12,2,1,3,4,2,19,425
"3419","T. Haws","G",31,5,9,3,7,4,5,0,2,2,6,3,0,1,1,17,425
"4419","N. Emery","G",32,4,7,1,3,0,0,0,2,2,3,3,1,3,1,9,425
"5419","L.J. Rose","G",29,3,5,3,5,0,0,0,6,6,4,2,0,4,1,9,425
"7415","P. Dastrup","F",3,0,0,0,0,0,0,0,3,3,1,0,0,0,1,0,425
"8415","B. Shaw","F",13,2,4,0,0,0,0,0,1,1,1,0,0,1,0,4,425
"9415","J. Aytes","F",6,1,4,0,0,2,2,0,0,0,0,0,0,0,1,4,425
"10392","D. Guinn","F",9,0,1,0,1,0,0,0,1,1,0,0,0,1,2,0,425
"11345","S. Beo","G",17,2,5,1,2,1,2,0,1,1,1,1,0,0,1,6,425
"12265","C. Leifson","G",8,1,4,1,4,0,0,0,0,0,0,2,0,1,0,3,425
"1650","Y. Childs","F",34,6,8,0,0,7,13,1,11,12,1,0,4,3,1,19,426
"2420","E. Mika","F",23,4,11,0,0,5,10,3,7,10,1,0,1,4,4,13,426
"3420","T. Haws","G",37,4,8,2,5,4,4,0,3,3,5,0,0,3,1,14,426
"4420","N. Emery","G",36,7,12,5,7,4,4,0,5,5,1,1,1,2,3,23,426
"5420","L.J. Rose","G",25,1,3,1,3,0,0,2,4,6,8,1,0,7,1,3,426
"7416","B. Shaw","F",8,0,0,0,0,0,0,1,1,2,0,1,0,1,1,0,426
"8416","J. Aytes","F",13,1,2,0,0,0,0,0,2,2,0,0,1,0,2,2,426
"9416","D. Guinn","F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,426
"10393","S. Beo","G",17,3,4,0,1,1,2,1,2,3,1,2,0,0,0,7,426
"11346","C. Leifson","G",5,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,426
"1651","Y. Childs","F",20,2,7,0,0,3,4,1,6,7,1,0,1,0,2,7,427
"2421","E. Mika","F",26,7,16,0,0,5,6,1,8,9,0,0,1,1,0,19,427
"3421","T. Haws","G",29,5,6,3,3,4,6,0,6,6,6,0,0,5,1,17,427
"4421","N. Emery","G",27,3,7,1,3,0,0,0,4,4,2,2,1,0,1,7,427
"5421","L.J. Rose","G",24,3,6,0,1,3,3,2,7,9,4,1,0,0,0,9,427
"7417","P. Dastrup","F",5,2,5,1,3,0,0,0,1,1,1,0,1,1,1,5,427
"8417","B. Shaw","F",16,1,2,0,0,0,2,2,4,6,0,0,0,0,3,2,427
"9417","J. Aytes","F",10,4,4,0,0,0,1,1,1,2,0,0,1,1,2,8,427
"10394","D. Guinn","F",7,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,427
"11347","C. Kaufusi","C",4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,427
"12266","S. Beo","G",24,4,4,3,3,1,2,0,1,1,3,0,0,0,1,12,427
"13171","C. Leifson","G",8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,427
"1652","Y. Childs","F",31,6,10,0,0,3,5,5,3,8,3,2,1,1,2,15,428
"2422","E. Mika","F",32,4,17,0,0,9,12,3,7,10,0,1,1,4,3,17,428
"3422","T. Haws","G",36,8,13,4,8,0,0,0,1,1,4,0,0,1,3,20,428
"4422","N. Emery","G",34,6,12,5,11,3,4,0,1,1,2,1,0,1,3,20,428
"5422","L.J. Rose","G",29,1,4,0,1,2,2,0,3,3,5,0,0,1,1,4,428
"7418","P. Dastrup","F",3,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,428
"8418","B. Shaw","F",8,0,0,0,0,3,6,2,2,4,1,0,0,1,2,3,428
"9418","J. Aytes","F",3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,428
"10395","D. Guinn","F",5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,428
"11348","C. Kaufusi","C",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428
"12267","S. Beo","G",18,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,428
"1653","Y. Childs","F",28,1,5,0,0,1,2,1,3,4,0,0,0,0,1,3,429
"2423","E. Mika","F",29,12,17,0,0,4,5,4,6,10,0,0,1,0,2,28,429
"3423","T. Haws","G",31,3,10,0,2,1,1,1,2,3,1,0,0,0,0,7,429
"4423","N. Emery","G",32,3,8,1,4,2,3,0,2,2,2,5,0,2,4,9,429
"5423","L.J. Rose","G",25,2,4,1,1,0,0,0,1,1,5,1,0,0,4,5,429
"7419","P. Dastrup","F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429
"8419","B. Shaw","F",7,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,429
"9419","D. Guinn","F",2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,429
"10396","C. Kaufusi","C",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429
"11349","S. Beo","G",18,1,3,1,2,0,0,0,0,0,1,0,0,0,2,3,429
"12268","C. Leifson","G",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429
"13172","E. Bryant","G",19,4,12,2,5,1,1,0,2,2,0,0,0,1,4,11,429
"1654","Y. Childs","F",22,5,7,0,0,4,4,2,6,8,2,1,3,2,2,14,430
"2424","E. Mika","F",20,7,11,0,0,3,3,4,6,10,3,0,1,0,3,17,430
"3424","T. Haws","G",25,4,10,3,7,4,4,0,7,7,3,0,0,0,1,15,430
"4424","N. Emery","G",25,4,10,2,5,2,2,0,1,1,1,1,0,2,4,12,430
"5424","L.J. Rose","G",16,1,2,1,2,0,0,0,4,4,3,0,0,1,1,3,430
"7420","P. Dastrup","F",10,0,0,0,0,0,0,0,4,4,1,0,2,1,0,0,430
"8420","B. Shaw","F",12,0,1,0,0,1,4,1,3,4,0,2,1,0,3,1,430
"9420","D. Guinn","F",8,0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,430
"10397","C. Kaufusi","C",7,0,1,0,0,0,1,0,2,2,0,0,0,3,2,0,430
"11350","S. Beo","G",26,3,7,0,3,0,1,0,2,2,2,0,0,0,3,6,430
"12269","C. Leifson","G",8,2,4,2,4,0,0,0,0,0,0,0,0,0,1,6,430
"13173","E. Bryant","G",20,5,7,2,3,5,6,0,1,1,3,0,0,2,0,17,430
"1655","Y. Childs","F",32,4,6,0,0,0,0,1,2,3,2,1,3,3,3,8,431
"2425","E. Mika","F",32,12,17,0,0,7,8,3,9,12,3,1,2,4,1,31,431
"3425","T. Haws","G",32,1,5,0,3,5,6,0,3,3,3,1,0,2,2,7,431
"4425","N. Emery","G",32,7,10,4,6,4,5,0,1,1,1,2,0,0,3,22,431
"5425","L.J. Rose","G",24,1,5,0,2,0,0,1,4,5,5,1,0,2,1,2,431
"7421","P. Dastrup","F",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431
"8421","B. Shaw","F",3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,431
"9421","J. Aytes","F",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431
"10398","D. Guinn","F",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,431
"11351","S. Beo","G",4,0,2,0,2,1,3,0,1,1,0,0,0,1,2,1,431
"12270","E. Bryant","G",33,4,7,1,2,5,7,1,4,5,3,0,1,1,3,14,431
"1656","Y. Childs","F",23,2,5,0,0,2,3,0,3,3,1,0,1,2,5,6,432
"2426","E. Mika","F",35,4,10,0,0,3,4,1,14,15,4,0,4,1,4,11,432
"3426","T. Haws","G",35,8,18,6,12,5,6,0,2,2,2,1,0,2,3,27,432
"4426","N. Emery","G",24,3,7,2,5,0,0,0,0,0,0,2,0,3,4,8,432
"5426","L.J. Rose","G",32,2,6,0,3,2,2,0,4,4,6,1,0,3,0,6,432
"7422","P. Dastrup","F",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432
"8422","B. Shaw","F",4,1,2,0,0,0,0,0,1,1,0,0,0,1,2,2,432
"9422","J. Aytes","F",6,0,0,0,0,3,4,2,0,2,0,0,0,0,1,3,432
"10399","D. Guinn","F",13,2,2,1,1,0,0,3,0,3,0,0,0,0,0,5,432
"11352","S. Beo","G",7,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,432
"12271","C. Leifson","G",3,1,2,0,1,0,0,0,0,0,0,0,0,0,2,2,432
"13174","E. Bryant","G",17,2,7,0,2,1,3,2,1,3,2,1,0,1,4,5,432
"1657","Y. Childs","F",23,3,8,0,1,2,4,5,9,14,1,0,2,0,1,8,433
