"","Player","Position","MIN","FGM","FGA","3PM","3PA","FTM","FTA","OREB","DREB","REB","AST","STL","BLK","TO","PF","PTS","GameId"
"8311","J. Sharp","F",16,1,2,0,1,2,2,1,5,6,0,0,1,0,2,4,321
"9311","F. Bartley","IVG",12,2,7,0,1,1,4,0,2,2,1,1,0,0,0,5,321
"10293","A. Winder","G",4,2,4,1,2,0,0,0,0,0,0,0,0,0,1,5,321
"11260","S. Halford","G",23,4,10,0,3,3,4,1,1,2,1,2,0,0,1,11,321
"1536","E. Mika","F",17,5,7,0,0,3,3,0,3,3,2,0,1,3,1,13,322
"2316","N. Austin","F",24,1,2,0,0,0,0,1,6,7,2,1,0,0,3,2,322
"3316","K. Collinsworth","G",30,5,6,1,1,1,2,3,4,7,8,1,0,2,2,12,322
"4316","T. Haws","G",29,5,12,1,1,6,7,0,3,3,2,0,0,1,1,17,322
"5316","S. Halford","G",26,11,16,4,8,2,2,0,2,2,3,1,0,1,0,28,322
"7312","L. Worthington","F",9,0,2,0,0,0,0,1,0,1,1,0,0,0,5,0,322
"8312","J. Sharp","F",16,0,0,0,0,1,2,0,2,2,3,0,0,0,3,1,322
"9312","A. Johnston","G",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322
"10294","F. Bartley","IVG",9,0,3,0,1,0,0,0,2,2,0,0,0,0,0,0,322
"11261","A. Winder","G",17,2,4,2,4,2,4,0,1,1,0,0,0,0,2,8,322
"12203","M. Carlino","G",21,2,6,0,2,2,4,0,2,2,4,1,0,2,1,6,322
"1537","N. Austin","F",30,3,3,0,0,0,2,4,5,9,0,0,2,2,4,6,323
"2317","J. Sharp","F",16,0,0,0,0,0,1,4,1,5,1,0,0,1,4,0,323
"3317","K. Collinsworth","G",35,5,11,0,0,5,8,4,6,10,9,3,0,2,3,15,323
"4317","T. Haws","G",33,11,23,4,6,9,9,0,1,1,0,1,0,0,3,35,323
"5317","S. Halford","G",31,7,14,2,6,2,2,1,5,6,1,0,0,3,3,18,323
"7313","L. Worthington","F",11,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,323
"8313","F. Bartley","IVG",2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,323
"9313","A. Winder","G",20,0,4,0,3,0,0,0,2,2,2,0,0,0,1,0,323
"10295","M. Carlino","G",22,1,2,1,2,7,9,1,2,3,6,0,0,0,3,10,323
"1538","N. Austin","F",30,1,3,0,0,0,1,5,4,9,1,0,0,0,1,2,324
"2318","J. Sharp","F",27,3,4,0,0,4,5,0,4,4,1,1,0,0,2,10,324
"3318","K. Collinsworth","G",30,7,9,0,0,6,8,6,3,9,5,2,3,4,4,20,324
"4318","T. Haws","G",33,9,19,0,1,13,14,1,3,4,1,3,2,3,3,31,324
"5318","S. Halford","G",20,0,5,0,3,2,2,0,3,3,1,0,0,1,1,2,324
"7314","G. Pingree","F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324
"8314","L. Worthington","F",7,0,0,0,0,2,2,0,1,1,0,0,0,0,1,2,324
"9314","A. Johnston","G",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,324
"10296","F. Bartley","IVG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324
"11262","A. Winder","G",20,3,5,0,1,0,1,1,2,3,1,1,0,1,3,6,324
"12204","M. Carlino","G",31,6,12,3,5,3,5,0,3,3,4,2,0,2,1,18,324
"1539","E. Mika","F",24,4,9,0,0,3,4,2,2,4,0,0,1,1,5,11,325
"2319","N. Austin","F",30,0,1,0,0,0,1,2,6,8,0,0,1,1,4,0,325
"3319","K. Collinsworth","G",28,7,10,0,0,5,7,3,1,4,0,3,0,1,3,19,325
"4319","T. Haws","G",31,5,10,1,1,4,5,0,0,0,1,0,0,3,4,15,325
"5319","S. Halford","G",31,3,9,1,3,11,12,0,3,3,1,3,0,2,3,18,325
"7315","J. Sharp","F",21,1,3,0,0,1,2,1,4,5,1,0,1,0,1,3,325
"8315","F. Bartley","IVG",3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,325
"9315","A. Winder","G",5,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,325
"10297","M. Carlino","G",27,5,9,3,6,4,6,0,3,3,1,2,0,2,2,17,325
"1540","E. Mika","F",25,5,11,0,0,0,0,0,6,6,2,0,0,4,2,10,326
"2320","N. Austin","F",27,1,1,0,0,0,1,1,6,7,2,0,0,1,4,2,326
"3320","K. Collinsworth","G",37,5,9,0,0,8,12,3,4,7,4,3,0,4,2,18,326
"4320","T. Haws","G",19,5,8,0,1,6,6,0,1,1,3,0,0,1,3,16,326
"5320","S. Halford","G",21,4,5,2,2,0,0,0,1,1,1,0,0,2,2,10,326
"7316","J. Sharp","F",25,2,2,0,0,0,1,0,6,6,0,0,1,0,4,4,326
"8316","F. Bartley","IVG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326
"9316","A. Winder","G",21,5,7,2,3,4,4,0,3,3,1,0,0,1,1,16,326
"10298","M. Carlino","G",24,5,9,3,5,2,5,0,2,2,9,1,1,0,3,15,326
"1541","E. Mika","F",31,1,3,0,0,2,4,1,3,4,1,0,1,2,5,4,327
"2321","N. Austin","F",52,1,1,0,0,5,6,5,10,15,0,2,2,2,5,7,327
"3321","K. Collinsworth","G",43,3,8,0,0,6,12,3,9,12,4,1,0,6,4,12,327
"4321","T. Haws","G",50,17,34,4,8,10,13,1,2,3,0,2,1,3,2,48,327
"5321","S. Halford","G",32,4,10,2,6,3,4,1,3,4,1,0,0,1,1,13,327
"7317","L. Worthington","F",2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,327
"8317","J. Sharp","F",7,0,0,0,0,1,2,3,0,3,0,0,0,0,4,1,327
"9317","A. Winder","G",14,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,327
"10299","M. Carlino","G",44,10,23,3,10,2,2,1,1,2,9,7,1,0,4,25,327
"1542","E. Mika","F",31,5,9,0,0,2,3,4,5,9,1,1,0,1,4,12,328
"2322","N. Austin","F",22,3,4,0,0,0,0,1,3,4,0,0,1,0,4,6,328
"3322","K. Collinsworth","G",36,6,12,0,2,1,4,3,4,7,4,0,0,1,0,13,328
"4322","T. Haws","G",36,7,15,1,2,8,9,1,0,1,1,0,0,4,4,23,328
"5322","S. Halford","G",16,1,7,0,3,0,0,1,1,2,1,0,0,3,0,2,328
"7318","L. Worthington","F",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328
"8318","J. Sharp","F",17,1,1,0,0,0,0,0,4,4,0,0,0,0,2,2,328
"9318","F. Bartley","IVG",5,1,3,0,1,0,0,1,0,1,0,0,0,0,0,2,328
"10300","A. Winder","G",14,1,1,1,1,4,5,0,0,0,0,0,0,0,0,7,328
"11263","M. Carlino","G",19,1,6,0,2,0,0,0,2,2,1,1,0,1,2,2,328
"1543","E. Mika","F",32,7,9,0,0,6,8,5,3,8,3,3,0,1,3,20,329
"2323","N. Austin","F",24,2,2,0,0,3,4,4,4,8,1,0,2,2,4,7,329
"3323","K. Collinsworth","G",30,2,9,0,0,6,8,2,4,6,5,2,0,4,3,10,329
"4323","T. Haws","G",35,12,20,4,5,10,11,0,2,2,1,2,1,1,3,38,329
"5323","S. Halford","G",26,3,10,3,9,1,2,0,0,0,1,1,0,1,3,10,329
"7319","L. Worthington","F",5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,329
"8319","J. Sharp","F",17,0,0,0,0,0,1,5,2,7,2,0,0,0,0,0,329
"9319","A. Johnston","G",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329
"10301","F. Bartley","IVG",3,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,329
"11264","A. Winder","G",7,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,329
"12205","M. Carlino","G",20,1,5,1,4,0,0,0,1,1,6,2,0,2,4,3,329
"1544","E. Mika","F",28,2,5,0,0,1,2,1,6,7,0,1,2,2,4,5,330
"2324","N. Austin","F",26,1,1,0,0,4,6,2,3,5,2,0,2,1,3,6,330
"3324","K. Collinsworth","G",35,6,13,0,0,8,10,2,7,9,2,0,0,3,2,20,330
"4324","T. Haws","G",39,10,17,2,4,11,12,2,5,7,1,2,0,1,1,33,330
"5324","S. Halford","G",10,2,4,0,1,0,0,0,1,1,0,0,0,1,3,4,330
"7320","L. Worthington","F",10,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,330
"8320","J. Sharp","F",8,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,330
"9320","F. Bartley","IVG",6,1,4,0,1,0,2,2,1,3,1,1,0,0,1,2,330
"10302","A. Winder","G",13,3,3,1,1,0,0,0,0,0,0,0,0,0,0,7,330
"11265","M. Carlino","G",25,3,9,1,3,0,0,0,3,3,2,1,0,0,1,7,330
"1545","E. Mika","F",25,4,9,0,0,7,10,5,5,10,0,0,1,2,2,15,331
"2325","N. Austin","F",26,0,4,0,0,2,2,4,4,8,1,1,0,1,1,2,331
"3325","K. Collinsworth","G",23,6,11,0,0,6,11,2,1,3,4,5,0,2,3,18,331
"4325","T. Haws","G",28,9,12,1,2,8,9,1,4,5,2,0,1,2,1,27,331
"5325","S. Halford","G",26,4,11,2,5,2,2,1,5,6,4,0,0,0,4,12,331
"7321","L. Worthington","F",10,2,3,0,0,3,4,0,2,2,0,0,0,0,2,7,331
"8321","J. Sharp","F",9,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,331
"9321","F. Bartley","IVG",13,1,4,0,0,0,0,1,1,2,2,0,0,0,0,2,331
"10303","A. Winder","G",25,0,2,0,1,1,2,0,6,6,3,0,0,0,2,1,331
"11266","M. Carlino","G",15,1,4,1,2,2,2,0,2,2,2,0,1,2,0,5,331
"1546","E. Mika","F",29,4,6,0,0,5,8,4,9,13,0,0,1,3,2,13,332
"2326","N. Austin","F",35,2,4,0,0,0,0,8,8,16,0,0,1,4,2,4,332
"3326","K. Collinsworth","G",33,8,15,1,2,2,8,3,5,8,4,2,0,3,3,19,332
"4326","T. Haws","G",37,7,20,0,3,5,8,0,1,1,1,1,1,2,4,19,332
"5326","S. Halford","G",19,1,5,0,2,0,0,0,1,1,1,0,0,0,0,2,332
"7322","L. Worthington","F",5,0,0,0,0,0,1,3,0,3,0,0,0,0,1,0,332
"8322","J. Sharp","F",10,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,332
"9322","F. Bartley","IVG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,332
"10304","A. Winder","G",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,332
"11267","M. Carlino","G",28,3,9,3,7,2,4,0,1,1,9,3,0,0,2,11,332
"1547","E. Mika","F",22,1,4,0,0,2,4,1,2,3,1,0,0,2,4,4,333
"2327","N. Austin","F",30,1,2,0,0,0,0,2,5,7,0,2,1,0,4,2,333
"3327","K. Collinsworth","G",34,5,8,0,0,0,2,1,6,7,5,3,0,0,2,10,333
"4327","T. Haws","G",31,6,16,0,0,8,8,2,0,2,0,0,0,0,5,20,333
"5327","S. Halford","G",23,3,10,1,5,7,8,0,0,0,2,0,1,3,1,14,333
"7323","L. Worthington","F",11,0,1,0,0,0,2,1,2,3,0,1,0,1,4,0,333
"8323","J. Sharp","F",11,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,333
"9323","F. Bartley","IVG",4,0,1,0,1,1,2,1,0,1,1,0,0,0,0,1,333
"10305","A. Winder","G",8,1,2,0,0,1,2,0,2,2,1,0,0,1,1,3,333
"11268","M. Carlino","G",26,9,15,6,11,4,5,0,3,3,4,1,0,3,2,28,333
"1548","E. Mika","F",17,2,2,0,0,1,2,0,0,0,0,1,1,1,4,5,334
"2328","N. Austin","F",29,2,2,0,0,1,2,3,8,11,0,1,0,2,2,5,334
"3328","K. Collinsworth","G",34,7,14,0,0,0,0,1,5,6,3,0,0,3,5,14,334
"4328","T. Haws","G",40,8,15,0,1,2,3,1,1,2,4,3,0,2,1,18,334
"5328","S. Halford","G",6,0,2,0,2,2,2,0,1,1,1,0,0,0,0,2,334
"7324","L. Worthington","F",19,0,0,0,0,1,2,3,1,4,0,1,0,1,2,1,334
"8324","J. Sharp","F",10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,334
"9324","F. Bartley","IVG",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
"10306","A. Winder","G",16,2,5,1,2,2,3,1,2,3,2,0,0,0,2,7,334
"11269","M. Carlino","G",23,1,6,0,3,2,5,0,0,0,4,1,0,0,1,4,334
"1549","N. Austin","F",26,1,4,0,0,0,0,1,2,3,0,1,2,1,3,2,335
"2329","J. Sharp","F",7,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,335
"3329","A. Winder","G",26,3,4,1,2,10,10,0,3,3,1,0,0,2,3,17,335
"4329","K. Collinsworth","G",31,4,11,0,2,0,2,3,2,5,5,2,0,2,1,8,335
"5329","T. Haws","G",32,5,12,1,2,1,2,0,5,5,2,3,0,2,2,12,335
"7325","L. Worthington","F",10,1,1,0,0,0,0,1,1,2,0,0,0,1,3,2,335
"8325","E. Mika","F",24,4,7,0,0,5,9,2,6,8,0,1,1,3,4,13,335
"9325","F. Bartley","IVG",3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,335
"10307","M. Carlino","G",31,5,13,2,6,3,4,2,2,4,6,3,0,2,1,15,335
"11270","S. Halford","G",10,2,4,0,2,0,0,0,3,3,1,0,0,1,0,4,335
"1550","L. Worthington","F",12,2,2,0,0,1,1,0,0,0,1,1,0,0,3,5,336
"2330","N. Austin","F",23,0,0,0,0,1,2,0,7,7,1,0,0,2,2,1,336
"3330","A. Winder","G",24,7,8,1,2,4,4,0,1,1,1,0,0,0,1,19,336
"4330","K. Collinsworth","G",28,3,8,0,0,1,2,2,9,11,7,2,0,1,1,7,336
"5330","T. Haws","G",34,5,12,1,4,4,4,0,2,2,5,1,0,1,2,15,336
"7326","G. Pingree","F",2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,336
"8326","E. Mika","F",20,3,7,0,0,2,7,1,2,3,0,0,0,0,3,8,336
"9326","J. Sharp","F",8,2,2,0,0,0,0,0,0,0,1,0,0,0,2,4,336
"10308","A. Johnston","G",2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,336
"11271","F. Bartley","IVG",11,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,336
"12206","M. Carlino","G",27,11,16,8,13,0,0,1,2,3,1,4,0,2,0,30,336
"13132","S. Halford","G",9,0,3,0,1,0,0,0,1,1,3,0,0,0,0,0,336
"1551","L. Worthington","F",22,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,337
"2331","N. Austin","F",28,2,3,0,0,5,5,4,6,10,1,1,0,1,3,9,337
"3331","A. Winder","G",25,4,6,2,3,1,4,1,2,3,1,0,1,5,1,11,337
"4331","K. Collinsworth","G",24,3,6,1,1,3,5,1,4,5,3,2,0,2,2,10,337
"5331","T. Haws","G",39,11,20,2,4,1,2,0,2,2,3,0,1,1,0,25,337
"7327","E. Mika","F",18,2,5,0,0,2,2,3,0,3,2,1,0,2,3,6,337
"8327","J. Sharp","F",11,0,1,0,0,0,0,0,1,1,0,2,0,0,1,0,337
"9327","F. Bartley","IVG",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337
"10309","M. Carlino","G",26,4,8,3,6,3,4,0,4,4,6,1,0,3,1,14,337
"11272","S. Halford","G",6,1,3,1,2,0,0,0,0,0,0,0,0,2,2,3,337
"1552","L. Worthington","F",11,1,1,0,0,1,2,0,0,0,0,0,0,0,2,3,338
"2332","N. Austin","F",24,1,2,0,0,0,0,3,4,7,0,0,1,1,5,2,338
"3332","A. Winder","G",31,4,7,0,2,8,8,0,2,2,3,6,0,1,3,16,338
"4332","K. Collinsworth","G",37,10,15,0,1,3,8,6,10,16,2,3,0,2,3,23,338
"5332","T. Haws","G",39,9,22,0,5,4,5,3,3,6,2,1,0,2,3,22,338
"7328","E. Mika","F",23,2,7,0,0,3,4,4,0,4,0,0,1,1,2,7,338
"8328","J. Sharp","F",4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,338
"9328","F. Bartley","IVG",3,0,0,0,0,1,3,1,1,2,0,0,0,0,0,1,338
"10310","M. Carlino","G",24,3,11,0,4,5,6,0,1,1,1,0,0,1,2,11,338
"11273","S. Halford","G",4,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,338
"1553","E. Mika","F",34,4,7,0,0,3,4,4,6,10,2,0,0,2,2,11,339
"2333","N. Austin","F",22,0,0,0,0,0,0,0,4,4,0,0,1,0,4,0,339
"3333","A. Winder","G",34,5,7,2,2,3,5,0,5,5,1,0,0,0,4,15,339
"4333","K. Collinsworth","G",42,8,16,0,1,2,2,6,6,12,2,1,0,3,4,18,339
"5333","T. Haws","G",41,5,19,0,2,14,14,3,1,4,2,1,0,4,1,24,339
"7329","L. Worthington","F",7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,339
"8329","J. Sharp","F",13,0,0,0,0,0,0,0,1,1,1,0,1,1,3,0,339
"9329","F. Bartley","IVG",3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,339
"10311","M. Carlino","G",28,4,12,1,5,2,3,0,2,2,1,2,0,2,0,11,339
"11274","S. Halford","G",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,339
"1554","E. Mika","F",28,3,8,0,0,2,2,4,6,10,1,0,2,1,4,8,340
"2334","N. Austin","F",23,1,2,0,0,0,1,2,3,5,0,1,0,1,3,2,340
"3334","A. Winder","G",25,0,4,0,2,0,0,1,2,3,1,2,0,0,4,0,340
"4334","K. Collinsworth","G",24,5,11,0,0,3,5,1,5,6,1,0,0,4,1,13,340
"5334","T. Haws","G",38,6,14,1,1,11,11,2,3,5,1,1,0,3,3,24,340
"7330","L. Worthington","F",5,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,340
"8330","J. Sharp","F",3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,340
"9330","F. Bartley","IVG",19,3,4,2,2,1,2,1,3,4,0,1,0,2,1,9,340
"10312","M. Carlino","G",29,3,12,0,5,2,5,0,1,1,2,1,0,2,5,8,340
"11275","S. Halford","G",6,0,3,0,3,0,0,0,2,2,0,0,0,1,1,0,340
"1555","J. Sharp","F",17,0,0,0,0,0,0,1,3,4,2,0,1,0,4,0,341
"2335","C. Kaufusi","C",32,1,1,0,0,4,5,2,4,6,0,0,1,3,5,6,341
"3335","C. Fischer","G",34,7,14,6,12,3,4,0,5,5,2,0,0,1,2,23,341
"4335","K. Collinsworth","G",26,1,7,0,0,6,9,1,6,7,10,0,0,5,4,8,341
"5335","T. Haws","G",38,13,23,5,9,2,3,1,4,5,5,0,0,2,1,33,341
